[I 2023-12-19 20:39:37,714] A new study created in memory with name: no-name-e374f74d-06ae-4cdd-9ac2-b7a206e8c3f2
2023-12-19 20:39:42.134588: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 20:42:38,581] Trial 0 finished with value: 0.9333333333333332 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 8, 'embed_dim': 32, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:43:33,201] Trial 1 finished with value: 0.85 and parameters: {'learning_rate': 3.613894271216525e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 3}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:43:53,757] Trial 2 finished with value: 0.32814526359240215 and parameters: {'learning_rate': 1.3726318898045866e-05, 'batch_size': 1028, 'embed_dim': 16, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:44:07,402] Trial 3 finished with value: 0.8291666666666666 and parameters: {'learning_rate': 0.00026730883107816685, 'batch_size': 256, 'embed_dim': 16, 'depth': 3}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:45:04,584] Trial 4 finished with value: 0.834375 and parameters: {'learning_rate': 0.00017535949529764417, 'batch_size': 64, 'embed_dim': 16, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:45:25,228] Trial 5 finished with value: 0.8548177083333333 and parameters: {'learning_rate': 9.935023909063687e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 2}. Best is trial 0 with value: 0.9333333333333332.
1: Train Metrics(loss=0.6476299166679382, accuracy=0.875), Test Metrics(loss=0.5396900773048401, accuracy=0.75)
1: Train Metrics(loss=2.2069239616394043, accuracy=0.1875), Test Metrics(loss=2.3039958477020264, accuracy=0.0625)
2: Train Metrics(loss=2.161997079849243, accuracy=0.1875), Test Metrics(loss=1.3260363340377808, accuracy=0.3125)
3: Train Metrics(loss=2.073868751525879, accuracy=0.3125), Test Metrics(loss=2.222740650177002, accuracy=0.25)
4: Train Metrics(loss=1.713779330253601, accuracy=0.3125), Test Metrics(loss=1.9118081331253052, accuracy=0.25)
5: Train Metrics(loss=2.1550514698028564, accuracy=0.1875), Test Metrics(loss=2.116896629333496, accuracy=0.1875)
6: Train Metrics(loss=1.6693631410598755, accuracy=0.3125), Test Metrics(loss=1.8163745403289795, accuracy=0.375)
7: Train Metrics(loss=1.954899549484253, accuracy=0.25), Test Metrics(loss=1.9724944829940796, accuracy=0.375)
8: Train Metrics(loss=2.099423885345459, accuracy=0.0625), Test Metrics(loss=1.91140615940094, accuracy=0.375)
9: Train Metrics(loss=2.3361258506774902, accuracy=0.25), Test Metrics(loss=1.7593426704406738, accuracy=0.375)
10: Train Metrics(loss=2.185947895050049, accuracy=0.1875), Test Metrics(loss=1.808722734451294, accuracy=0.375)
1: Train Metrics(loss=1.5677132606506348, accuracy=0.5), Test Metrics(loss=1.1153216361999512, accuracy=0.5625)
2: Train Metrics(loss=2.020451545715332, accuracy=0.25), Test Metrics(loss=0.8044558763504028, accuracy=0.6875)
3: Train Metrics(loss=1.0749176740646362, accuracy=0.6875), Test Metrics(loss=1.3671345710754395, accuracy=0.4375)
4: Train Metrics(loss=1.2248347997665405, accuracy=0.625), Test Metrics(loss=1.4091041088104248, accuracy=0.4375)
5: Train Metrics(loss=1.5671167373657227, accuracy=0.375), Test Metrics(loss=1.5270581245422363, accuracy=0.4375)
6: Train Metrics(loss=1.4698491096496582, accuracy=0.3125), Test Metrics(loss=1.0977511405944824, accuracy=0.625)
7: Train Metrics(loss=0.9739376902580261, accuracy=0.625), Test Metrics(loss=1.1613572835922241, accuracy=0.5)
8: Train Metrics(loss=1.4189317226409912, accuracy=0.625), Test Metrics(loss=1.1960597038269043, accuracy=0.5)
9: Train Metrics(loss=1.152073621749878, accuracy=0.5), Test Metrics(loss=1.7272840738296509, accuracy=0.4375)
10: Train Metrics(loss=1.4320513010025024, accuracy=0.375), Test Metrics(loss=1.346073865890503, accuracy=0.5)
1: Train Metrics(loss=0.2549700438976288, accuracy=0.9375), Test Metrics(loss=0.4611296057701111, accuracy=0.875)
2: Train Metrics(loss=0.2268705815076828, accuracy=0.875), Test Metrics(loss=0.15768304467201233, accuracy=0.9375)
3: Train Metrics(loss=0.29952502250671387, accuracy=0.9375), Test Metrics(loss=0.20928356051445007, accuracy=0.9375)
4: Train Metrics(loss=0.40269964933395386, accuracy=0.8125), Test Metrics(loss=0.49521756172180176, accuracy=0.6875)
5: Train Metrics(loss=0.4262087345123291, accuracy=0.8125), Test Metrics(loss=0.5113086700439453, accuracy=0.8125)
6: Train Metrics(loss=0.3112679123878479, accuracy=0.9375), Test Metrics(loss=0.1709344983100891, accuracy=0.875)
7: Train Metrics(loss=0.37911292910575867, accuracy=0.9375), Test Metrics(loss=0.4267479181289673, accuracy=0.75)
8: Train Metrics(loss=0.6124288439750671, accuracy=0.75), Test Metrics(loss=0.2930135130882263, accuracy=0.875)
9: Train Metrics(loss=0.0674826055765152, accuracy=1.0), Test Metrics(loss=0.40709665417671204, accuracy=0.875)
10: Train Metrics(loss=0.1544051170349121, accuracy=0.9375), Test Metrics(loss=0.15372321009635925, accuracy=0.9375)
1: Train Metrics(loss=1.3928465843200684, accuracy=0.5625), Test Metrics(loss=1.5549213886260986, accuracy=0.5625)
2: Train Metrics(loss=1.500720739364624, accuracy=0.5), Test Metrics(loss=1.2765687704086304, accuracy=0.5625)
3: Train Metrics(loss=1.2181639671325684, accuracy=0.5), Test Metrics(loss=1.4540469646453857, accuracy=0.4375)
4: Train Metrics(loss=1.5429561138153076, accuracy=0.25), Test Metrics(loss=1.7310463190078735, accuracy=0.375)
[I 2023-12-19 21:06:00,686] Trial 20 finished with value: 0.3041666666666667 and parameters: {'learning_rate': 0.012907627214036972, 'batch_size': 16, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:08:46,101] Trial 21 finished with value: 0.9333333333333332 and parameters: {'learning_rate': 0.0005902799565601288, 'batch_size': 8, 'embed_dim': 32, 'depth': 6}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:10:24,166] Trial 22 finished with value: 0.8083333333333333 and parameters: {'learning_rate': 0.0016359022229975471, 'batch_size': 16, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:10:41,354] Trial 23 finished with value: 0.7098958333333333 and parameters: {'learning_rate': 0.00016787152247935635, 'batch_size': 256, 'embed_dim': 8, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:13:30,807] Trial 24 finished with value: 0.9166666666666666 and parameters: {'learning_rate': 0.0004631721329271587, 'batch_size': 8, 'embed_dim': 32, 'depth': 6}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:13:57,965] Trial 25 finished with value: 0.90625 and parameters: {'learning_rate': 0.0015191964565009714, 'batch_size': 128, 'embed_dim': 64, 'depth': 5}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:14:48,656] Trial 26 finished with value: 0.5583333333333333 and parameters: {'learning_rate': 0.004007936167521852, 'batch_size': 16, 'embed_dim': 64, 'depth': 2}. Best is trial 15 with value: 0.95.
5: Train Metrics(loss=1.834977388381958, accuracy=0.4375), Test Metrics(loss=1.8515313863754272, accuracy=0.3125)
6: Train Metrics(loss=1.8368232250213623, accuracy=0.375), Test Metrics(loss=1.8028050661087036, accuracy=0.5)
7: Train Metrics(loss=1.684614896774292, accuracy=0.375), Test Metrics(loss=2.2995667457580566, accuracy=0.1875)
8: Train Metrics(loss=1.7478771209716797, accuracy=0.3125), Test Metrics(loss=1.7920655012130737, accuracy=0.375)
9: Train Metrics(loss=2.0547144412994385, accuracy=0.125), Test Metrics(loss=1.9489985704421997, accuracy=0.25)
10: Train Metrics(loss=2.006692409515381, accuracy=0.4375), Test Metrics(loss=2.022465944290161, accuracy=0.3125)
1: Train Metrics(loss=0.38847482204437256, accuracy=0.875), Test Metrics(loss=0.3149757385253906, accuracy=0.875)
2: Train Metrics(loss=0.20561295747756958, accuracy=0.875), Test Metrics(loss=0.10519538074731827, accuracy=1.0)
3: Train Metrics(loss=0.27571195363998413, accuracy=0.875), Test Metrics(loss=0.1469331979751587, accuracy=0.875)
4: Train Metrics(loss=0.33522331714630127, accuracy=0.875), Test Metrics(loss=0.5127172470092773, accuracy=0.75)
5: Train Metrics(loss=0.2864188551902771, accuracy=0.875), Test Metrics(loss=0.02053571492433548, accuracy=1.0)
6: Train Metrics(loss=0.01912711374461651, accuracy=1.0), Test Metrics(loss=0.12402261048555374, accuracy=0.875)
7: Train Metrics(loss=0.13967487215995789, accuracy=1.0), Test Metrics(loss=0.5900048613548279, accuracy=0.875)
8: Train Metrics(loss=0.719637930393219, accuracy=0.875), Test Metrics(loss=0.05376646667718887, accuracy=1.0)
9: Train Metrics(loss=0.011832445859909058, accuracy=1.0), Test Metrics(loss=0.005632867105305195, accuracy=1.0)
10: Train Metrics(loss=0.11683318018913269, accuracy=1.0), Test Metrics(loss=0.10620718449354172, accuracy=0.875)
1: Train Metrics(loss=0.3332900404930115, accuracy=1.0), Test Metrics(loss=1.0843249559402466, accuracy=0.6875)
2: Train Metrics(loss=0.5345706939697266, accuracy=0.8125), Test Metrics(loss=0.2418927252292633, accuracy=0.875)
3: Train Metrics(loss=0.862833559513092, accuracy=0.6875), Test Metrics(loss=0.599531352519989, accuracy=0.8125)
4: Train Metrics(loss=0.7671154141426086, accuracy=0.625), Test Metrics(loss=0.8321553468704224, accuracy=0.6875)
5: Train Metrics(loss=1.0770280361175537, accuracy=0.5625), Test Metrics(loss=1.0063596963882446, accuracy=0.625)
6: Train Metrics(loss=0.8045399785041809, accuracy=0.6875), Test Metrics(loss=0.7510969042778015, accuracy=0.75)
7: Train Metrics(loss=0.5313591957092285, accuracy=0.8125), Test Metrics(loss=1.0455962419509888, accuracy=0.6875)
8: Train Metrics(loss=1.0365586280822754, accuracy=0.6875), Test Metrics(loss=0.7899712920188904, accuracy=0.6875)
9: Train Metrics(loss=0.8659553527832031, accuracy=0.8125), Test Metrics(loss=0.6313743591308594, accuracy=0.8125)
10: Train Metrics(loss=0.8790728449821472, accuracy=0.6875), Test Metrics(loss=0.4278888702392578, accuracy=0.9375)
1: Train Metrics(loss=1.9363694190979004, accuracy=0.34765625), Test Metrics(loss=1.9518418312072754, accuracy=0.32421875)
2: Train Metrics(loss=1.5710804462432861, accuracy=0.5), Test Metrics(loss=1.6450388431549072, accuracy=0.4296875)
3: Train Metrics(loss=1.4529434442520142, accuracy=0.5078125), Test Metrics(loss=1.337808609008789, accuracy=0.56640625)
4: Train Metrics(loss=1.1953243017196655, accuracy=0.63671875), Test Metrics(loss=1.1903138160705566, accuracy=0.65234375)
5: Train Metrics(loss=1.2113817930221558, accuracy=0.62890625), Test Metrics(loss=1.1391342878341675, accuracy=0.640625)
6: Train Metrics(loss=1.0773491859436035, accuracy=0.6875), Test Metrics(loss=1.068587303161621, accuracy=0.65234375)
7: Train Metrics(loss=1.0189235210418701, accuracy=0.66796875), Test Metrics(loss=0.8825042247772217, accuracy=0.74609375)
8: Train Metrics(loss=0.9641951322555542, accuracy=0.65625), Test Metrics(loss=0.8874542713165283, accuracy=0.71875)
9: Train Metrics(loss=0.9349797368049622, accuracy=0.72265625), Test Metrics(loss=0.9396275281906128, accuracy=0.68359375)
10: Train Metrics(loss=0.7688976526260376, accuracy=0.75), Test Metrics(loss=0.8463770151138306, accuracy=0.72265625)
1: Train Metrics(loss=0.3245617747306824, accuracy=0.875), Test Metrics(loss=0.526731014251709, accuracy=0.75)
2: Train Metrics(loss=0.06088403984904289, accuracy=1.0), Test Metrics(loss=0.17864304780960083, accuracy=0.875)
3: Train Metrics(loss=0.3312205672264099, accuracy=0.75), Test Metrics(loss=0.08242934197187424, accuracy=1.0)
4: Train Metrics(loss=0.0465567372739315, accuracy=1.0), Test Metrics(loss=0.3728829622268677, accuracy=0.875)
5: Train Metrics(loss=0.42705124616622925, accuracy=0.75), Test Metrics(loss=0.04048774763941765, accuracy=1.0)
6: Train Metrics(loss=0.05117151141166687, accuracy=1.0), Test Metrics(loss=0.5912280678749084, accuracy=0.875)
7: Train Metrics(loss=0.14176717400550842, accuracy=1.0), Test Metrics(loss=0.11585956066846848, accuracy=1.0)
8: Train Metrics(loss=0.6891559362411499, accuracy=0.875), Test Metrics(loss=0.0149845527485013, accuracy=1.0)
9: Train Metrics(loss=0.05057571828365326, accuracy=1.0), Test Metrics(loss=0.10304294526576996, accuracy=0.875)
10: Train Metrics(loss=0.011378318071365356, accuracy=1.0), Test Metrics(loss=0.26957130432128906, accuracy=0.875)
1: Train Metrics(loss=0.39103931188583374, accuracy=0.8671875), Test Metrics(loss=0.531143307685852, accuracy=0.8046875)
2: Train Metrics(loss=0.2713952660560608, accuracy=0.9140625), Test Metrics(loss=0.4753381609916687, accuracy=0.84375)
3: Train Metrics(loss=0.35552066564559937, accuracy=0.890625), Test Metrics(loss=0.452871710062027, accuracy=0.8359375)
4: Train Metrics(loss=0.2292863428592682, accuracy=0.9375), Test Metrics(loss=0.3552992343902588, accuracy=0.90625)
5: Train Metrics(loss=0.23909826576709747, accuracy=0.90625), Test Metrics(loss=0.2751997113227844, accuracy=0.90625)
6: Train Metrics(loss=0.1500801295042038, accuracy=0.9375), Test Metrics(loss=0.2864968180656433, accuracy=0.90625)
7: Train Metrics(loss=0.21906547248363495, accuracy=0.90625), Test Metrics(loss=0.30475547909736633, accuracy=0.9140625)
8: Train Metrics(loss=0.2314695119857788, accuracy=0.9375), Test Metrics(loss=0.3330598473548889, accuracy=0.875)
9: Train Metrics(loss=0.19690385460853577, accuracy=0.9296875), Test Metrics(loss=0.3664822280406952, accuracy=0.90625)
10: Train Metrics(loss=0.19429248571395874, accuracy=0.90625), Test Metrics(loss=0.2884533703327179, accuracy=0.921875)
1: Train Metrics(loss=1.2559592723846436, accuracy=0.4375), Test Metrics(loss=1.4361310005187988, accuracy=0.5625)
2: Train Metrics(loss=0.9733566641807556, accuracy=0.625), Test Metrics(loss=0.6531969904899597, accuracy=0.75)
3: Train Metrics(loss=0.9253185391426086, accuracy=0.625), Test Metrics(loss=1.1815805435180664, accuracy=0.5)
4: Train Metrics(loss=0.969362735748291, accuracy=0.75), Test Metrics(loss=1.0075162649154663, accuracy=0.5625)
5: Train Metrics(loss=0.6282690763473511, accuracy=0.8125), Test Metrics(loss=1.223253846168518, accuracy=0.5)
6: Train Metrics(loss=0.9445937275886536, accuracy=0.6875), Test Metrics(loss=0.9642031192779541, accuracy=0.75)
7: Train Metrics(loss=1.0262160301208496, accuracy=0.625), Test Metrics(loss=1.6755211353302002, accuracy=0.375)
8: Train Metrics(loss=1.452901840209961, accuracy=0.5625), Test Metrics(loss=1.258285403251648, accuracy=0.5)
9: Train Metrics(loss=1.1002302169799805, accuracy=0.5), Test Metrics(loss=1.3050874471664429, accuracy=0.5625)
10: Train Metrics(loss=1.2663073539733887, accuracy=0.5625), Test Metrics(loss=1.0199668407440186, accuracy=0.625)
1: Train Metrics(loss=0.7863147258758545, accuracy=0.75), Test Metrics(loss=0.6032785177230835, accuracy=0.8125)
2: Train Metrics(loss=0.48692429065704346, accuracy=0.8125), Test Metrics(loss=0.27068883180618286, accuracy=0.875)
3: Train Metrics(loss=0.2793883681297302, accuracy=0.9375), Test Metrics(loss=0.28501278162002563, accuracy=0.875)
4: Train Metrics(loss=0.3124941289424896, accuracy=0.875), Test Metrics(loss=0.27735283970832825, accuracy=0.875)
5: Train Metrics(loss=0.5944947004318237, accuracy=0.75), Test Metrics(loss=0.3552298843860626, accuracy=0.875)
[I 2023-12-19 21:15:52,994] Trial 27 finished with value: 0.8958333333333333 and parameters: {'learning_rate': 5.6917246249021686e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:16:58,859] Trial 28 finished with value: 0.9166666666666665 and parameters: {'learning_rate': 0.00025378767837125744, 'batch_size': 8, 'embed_dim': 64, 'depth': 1}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:17:23,740] Trial 29 finished with value: 0.8541666666666666 and parameters: {'learning_rate': 0.0010005243147134335, 'batch_size': 64, 'embed_dim': 8, 'depth': 3}. Best is trial 15 with value: 0.95.
[I 2023-12-19 21:19:43,805] Trial 30 finished with value: 0.9708333333333332 and parameters: {'learning_rate': 2.879053262981407e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 30 with value: 0.9708333333333332.
[I 2023-12-19 21:21:59,654] Trial 31 finished with value: 0.9749999999999999 and parameters: {'learning_rate': 2.408032169652253e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:24:16,668] Trial 32 finished with value: 0.9 and parameters: {'learning_rate': 3.292186161407109e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:26:33,070] Trial 33 finished with value: 0.925 and parameters: {'learning_rate': 2.3812686500947928e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 31 with value: 0.9749999999999999.
6: Train Metrics(loss=0.5839028358459473, accuracy=0.875), Test Metrics(loss=0.23136606812477112, accuracy=0.875)
7: Train Metrics(loss=0.20557057857513428, accuracy=0.9375), Test Metrics(loss=0.4004850685596466, accuracy=0.75)
8: Train Metrics(loss=0.760265588760376, accuracy=0.8125), Test Metrics(loss=0.285650372505188, accuracy=0.9375)
9: Train Metrics(loss=0.3849429786205292, accuracy=0.875), Test Metrics(loss=0.49613410234451294, accuracy=0.8125)
10: Train Metrics(loss=0.34790223836898804, accuracy=0.8125), Test Metrics(loss=0.05813107267022133, accuracy=1.0)
1: Train Metrics(loss=0.2714025676250458, accuracy=0.875), Test Metrics(loss=0.6669243574142456, accuracy=0.75)
2: Train Metrics(loss=0.12278780341148376, accuracy=1.0), Test Metrics(loss=0.18597926199436188, accuracy=1.0)
3: Train Metrics(loss=0.3413798213005066, accuracy=0.875), Test Metrics(loss=0.11456102132797241, accuracy=1.0)
4: Train Metrics(loss=0.5121729373931885, accuracy=0.875), Test Metrics(loss=0.47554779052734375, accuracy=0.75)
5: Train Metrics(loss=0.3208618760108948, accuracy=1.0), Test Metrics(loss=0.11602108180522919, accuracy=0.875)
6: Train Metrics(loss=0.047833822667598724, accuracy=1.0), Test Metrics(loss=0.24206580221652985, accuracy=0.875)
7: Train Metrics(loss=0.10250747203826904, accuracy=1.0), Test Metrics(loss=0.6179451942443848, accuracy=0.625)
8: Train Metrics(loss=0.6828691363334656, accuracy=0.875), Test Metrics(loss=0.25950145721435547, accuracy=0.875)
9: Train Metrics(loss=0.09211542457342148, accuracy=1.0), Test Metrics(loss=0.028217002749443054, accuracy=1.0)
10: Train Metrics(loss=0.07573319226503372, accuracy=1.0), Test Metrics(loss=0.04791378229856491, accuracy=1.0)
1: Train Metrics(loss=0.7430465817451477, accuracy=0.75), Test Metrics(loss=0.8922315835952759, accuracy=0.671875)
2: Train Metrics(loss=0.6077980399131775, accuracy=0.8125), Test Metrics(loss=0.6350245475769043, accuracy=0.734375)
3: Train Metrics(loss=0.4886588156223297, accuracy=0.828125), Test Metrics(loss=0.558638334274292, accuracy=0.796875)
4: Train Metrics(loss=0.7681331634521484, accuracy=0.75), Test Metrics(loss=0.6224337220191956, accuracy=0.8125)
5: Train Metrics(loss=0.5050440430641174, accuracy=0.859375), Test Metrics(loss=0.5544167757034302, accuracy=0.796875)
6: Train Metrics(loss=0.38501930236816406, accuracy=0.875), Test Metrics(loss=0.465942919254303, accuracy=0.84375)
7: Train Metrics(loss=0.524463951587677, accuracy=0.859375), Test Metrics(loss=0.7776028513908386, accuracy=0.734375)
8: Train Metrics(loss=0.37142056226730347, accuracy=0.84375), Test Metrics(loss=0.4778122305870056, accuracy=0.8125)
9: Train Metrics(loss=0.4733179211616516, accuracy=0.84375), Test Metrics(loss=0.27281880378723145, accuracy=0.921875)
10: Train Metrics(loss=0.26845788955688477, accuracy=0.90625), Test Metrics(loss=0.5083646178245544, accuracy=0.875)
1: Train Metrics(loss=0.3544807434082031, accuracy=0.875), Test Metrics(loss=0.6092159748077393, accuracy=0.8125)
2: Train Metrics(loss=0.26423096656799316, accuracy=0.9375), Test Metrics(loss=0.09201036393642426, accuracy=0.9375)
3: Train Metrics(loss=0.3939507007598877, accuracy=0.8125), Test Metrics(loss=0.18772660195827484, accuracy=1.0)
4: Train Metrics(loss=0.4581218957901001, accuracy=0.8125), Test Metrics(loss=0.6347441077232361, accuracy=0.75)
5: Train Metrics(loss=0.42309460043907166, accuracy=0.875), Test Metrics(loss=0.5829464197158813, accuracy=0.875)
6: Train Metrics(loss=0.44683676958084106, accuracy=0.9375), Test Metrics(loss=0.14227166771888733, accuracy=0.9375)
7: Train Metrics(loss=0.22667592763900757, accuracy=0.9375), Test Metrics(loss=0.5069933533668518, accuracy=0.8125)
8: Train Metrics(loss=0.9873199462890625, accuracy=0.8125), Test Metrics(loss=0.10466538369655609, accuracy=1.0)
9: Train Metrics(loss=0.20443150401115417, accuracy=0.9375), Test Metrics(loss=0.07539953291416168, accuracy=1.0)
10: Train Metrics(loss=0.3324652910232544, accuracy=0.8125), Test Metrics(loss=0.03084179386496544, accuracy=1.0)
1: Train Metrics(loss=0.35898128151893616, accuracy=0.8125), Test Metrics(loss=0.4117851257324219, accuracy=0.875)
2: Train Metrics(loss=0.23768769204616547, accuracy=0.9375), Test Metrics(loss=0.06423766911029816, accuracy=1.0)
3: Train Metrics(loss=0.21315713226795197, accuracy=0.9375), Test Metrics(loss=0.25217002630233765, accuracy=0.875)
4: Train Metrics(loss=0.5791754126548767, accuracy=0.75), Test Metrics(loss=0.4466964900493622, accuracy=0.8125)
5: Train Metrics(loss=0.23472651839256287, accuracy=0.9375), Test Metrics(loss=0.44816601276397705, accuracy=0.8125)
6: Train Metrics(loss=0.4889526665210724, accuracy=0.9375), Test Metrics(loss=0.10737339407205582, accuracy=0.9375)
7: Train Metrics(loss=0.256914883852005, accuracy=0.9375), Test Metrics(loss=0.4103207588195801, accuracy=0.9375)
8: Train Metrics(loss=0.779220700263977, accuracy=0.8125), Test Metrics(loss=0.14769819378852844, accuracy=0.9375)
9: Train Metrics(loss=0.10495062172412872, accuracy=0.9375), Test Metrics(loss=0.11018126457929611, accuracy=1.0)
10: Train Metrics(loss=0.18840068578720093, accuracy=0.9375), Test Metrics(loss=0.031944070011377335, accuracy=1.0)
1: Train Metrics(loss=0.41789406538009644, accuracy=0.6875), Test Metrics(loss=0.5043591260910034, accuracy=0.9375)
2: Train Metrics(loss=0.28352853655815125, accuracy=0.9375), Test Metrics(loss=0.03641011565923691, accuracy=1.0)
3: Train Metrics(loss=0.2567688822746277, accuracy=0.875), Test Metrics(loss=0.23583143949508667, accuracy=0.9375)
4: Train Metrics(loss=0.6487905979156494, accuracy=0.75), Test Metrics(loss=0.3947422504425049, accuracy=0.75)
5: Train Metrics(loss=0.42897528409957886, accuracy=0.75), Test Metrics(loss=0.5703253746032715, accuracy=0.8125)
6: Train Metrics(loss=0.47670096158981323, accuracy=0.9375), Test Metrics(loss=0.12481308728456497, accuracy=0.9375)
7: Train Metrics(loss=0.18990874290466309, accuracy=0.9375), Test Metrics(loss=0.5155408978462219, accuracy=0.875)
8: Train Metrics(loss=0.48043107986450195, accuracy=0.875), Test Metrics(loss=0.2853977084159851, accuracy=0.875)
9: Train Metrics(loss=0.10849522799253464, accuracy=1.0), Test Metrics(loss=0.2286158800125122, accuracy=0.875)
10: Train Metrics(loss=0.2728484272956848, accuracy=0.9375), Test Metrics(loss=0.12821103632450104, accuracy=0.9375)
1: Train Metrics(loss=0.4665767252445221, accuracy=0.8125), Test Metrics(loss=0.680236279964447, accuracy=0.8125)
2: Train Metrics(loss=0.2773361802101135, accuracy=0.9375), Test Metrics(loss=0.08625403791666031, accuracy=1.0)
3: Train Metrics(loss=0.24117499589920044, accuracy=0.9375), Test Metrics(loss=0.15350458025932312, accuracy=1.0)
4: Train Metrics(loss=0.7650997042655945, accuracy=0.6875), Test Metrics(loss=0.3391460180282593, accuracy=0.8125)
5: Train Metrics(loss=0.6045454740524292, accuracy=0.75), Test Metrics(loss=0.3845033049583435, accuracy=0.8125)
6: Train Metrics(loss=0.41244298219680786, accuracy=0.9375), Test Metrics(loss=0.21108561754226685, accuracy=0.875)
7: Train Metrics(loss=0.2624398171901703, accuracy=0.9375), Test Metrics(loss=0.4817829132080078, accuracy=0.8125)
8: Train Metrics(loss=0.7335841655731201, accuracy=0.8125), Test Metrics(loss=0.30647844076156616, accuracy=0.875)
9: Train Metrics(loss=0.27519798278808594, accuracy=0.9375), Test Metrics(loss=0.17071156203746796, accuracy=0.9375)
10: Train Metrics(loss=0.39473843574523926, accuracy=0.875), Test Metrics(loss=0.0273588914424181, accuracy=1.0)
1: Train Metrics(loss=0.5948257446289062, accuracy=0.875), Test Metrics(loss=0.9590697884559631, accuracy=0.625)
2: Train Metrics(loss=0.3884292542934418, accuracy=0.8125), Test Metrics(loss=0.15069884061813354, accuracy=0.9375)
3: Train Metrics(loss=0.32455408573150635, accuracy=0.875), Test Metrics(loss=0.25545674562454224, accuracy=0.875)
4: Train Metrics(loss=0.7563925981521606, accuracy=0.6875), Test Metrics(loss=0.41635391116142273, accuracy=0.8125)
5: Train Metrics(loss=0.7371120452880859, accuracy=0.8125), Test Metrics(loss=0.3455132246017456, accuracy=0.8125)
6: Train Metrics(loss=0.446137398481369, accuracy=0.9375), Test Metrics(loss=0.08866478502750397, accuracy=1.0)
[I 2023-12-19 21:28:50,206] Trial 34 finished with value: 0.9208333333333334 and parameters: {'learning_rate': 1.661449305028847e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:31:05,894] Trial 35 finished with value: 0.9291666666666667 and parameters: {'learning_rate': 7.164390590637172e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:31:42,331] Trial 36 finished with value: 0.8984375 and parameters: {'learning_rate': 0.00012807696286979553, 'batch_size': 256, 'embed_dim': 128, 'depth': 5}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:33:59,164] Trial 37 finished with value: 0.875 and parameters: {'learning_rate': 1.2018678006954934e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:34:33,842] Trial 38 finished with value: 0.8255208333333333 and parameters: {'learning_rate': 2.5363540613679173e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 6}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:35:24,554] Trial 39 finished with value: 0.9072916666666667 and parameters: {'learning_rate': 0.00026666272850518996, 'batch_size': 64, 'embed_dim': 64, 'depth': 3}. Best is trial 31 with value: 0.9749999999999999.
[I 2023-12-19 21:35:40,003] Trial 40 finished with value: 0.2500648468732834 and parameters: {'learning_rate': 0.04379284143682295, 'batch_size': 1028, 'embed_dim': 128, 'depth': 2}. Best is trial 31 with value: 0.9749999999999999.
7: Train Metrics(loss=0.19939430058002472, accuracy=0.9375), Test Metrics(loss=0.5675657987594604, accuracy=0.875)
8: Train Metrics(loss=0.8280794620513916, accuracy=0.8125), Test Metrics(loss=0.420905202627182, accuracy=0.875)
