with classifier mlp
[I 2023-12-19 10:22:00,879] A new study created in memory with name: no-name-9ce8c69b-6805-4955-9485-46a0f5d21ce6
2023-12-19 10:22:05.153638: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 10:24:30,364] Trial 0 finished with value: 0.875 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 16, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 0 with value: 0.875.
[I 2023-12-19 14:52:35,266] Trial 110 finished with value: 1.0 and parameters: {'learning_rate': 8.818531610634228e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:55:33,735] Trial 111 finished with value: 1.0 and parameters: {'learning_rate': 1.5025948946452532e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 14:58:32,289] Trial 112 finished with value: 1.0 and parameters: {'learning_rate': 1.209607709623855e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:01:29,896] Trial 113 finished with value: 1.0 and parameters: {'learning_rate': 2.0510606107190142e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:04:26,643] Trial 114 finished with value: 1.0 and parameters: {'learning_rate': 1.7173329940916497e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:05:22,135] Trial 115 finished with value: 0.953125 and parameters: {'learning_rate': 6.157834532944268e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:05:52,423] Trial 116 finished with value: 0.890625 and parameters: {'learning_rate': 1.0012740390970624e-05, 'batch_size': 256, 'embed_dim': 64, 'depth': 3, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:09:47,897] Trial 117 finished with value: 1.0 and parameters: {'learning_rate': 2.327437796262645e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 4, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:11:47,316] Trial 118 finished with value: 1.0 and parameters: {'learning_rate': 0.00024275748474147728, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:15:59,653] Trial 119 finished with value: 1.0 and parameters: {'learning_rate': 2.7712611326705927e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 6, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:21:37,991] Trial 120 finished with value: 1.0 and parameters: {'learning_rate': 3.2659404436812396e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:24:35,125] Trial 121 finished with value: 1.0 and parameters: {'learning_rate': 0.00017114252124019518, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:27:34,319] Trial 122 finished with value: 1.0 and parameters: {'learning_rate': 0.00011199783727496974, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:30:32,779] Trial 123 finished with value: 0.96875 and parameters: {'learning_rate': 1.8155887539868522e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:33:31,214] Trial 124 finished with value: 0.78125 and parameters: {'learning_rate': 0.002496741003434044, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:34:05,952] Trial 125 finished with value: 0.873046875 and parameters: {'learning_rate': 3.317970038985657e-05, 'batch_size': 512, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:36:19,083] Trial 126 finished with value: 0.96875 and parameters: {'learning_rate': 1.3741914365062816e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:37:26,234] Trial 127 finished with value: 0.9453125 and parameters: {'learning_rate': 5.055922040516398e-05, 'batch_size': 128, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:39:16,812] Trial 128 finished with value: 1.0 and parameters: {'learning_rate': 7.075382332316142e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:42:31,476] Trial 129 finished with value: 0.9375 and parameters: {'learning_rate': 2.5212658987363174e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:48:07,128] Trial 130 finished with value: 1.0 and parameters: {'learning_rate': 2.0925961156368238e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:51:04,497] Trial 131 finished with value: 0.96875 and parameters: {'learning_rate': 0.00014348927559560968, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:54:01,467] Trial 132 finished with value: 0.78125 and parameters: {'learning_rate': 0.0013342335268526372, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:56:58,562] Trial 133 finished with value: 1.0 and parameters: {'learning_rate': 0.0001008209156617978, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 15:59:55,299] Trial 134 finished with value: 1.0 and parameters: {'learning_rate': 0.00012006873353052575, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:01:37,347] Trial 135 finished with value: 1.0 and parameters: {'learning_rate': 4.028245775523239e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:02:41,390] Trial 136 finished with value: 0.9027237296104431 and parameters: {'learning_rate': 7.9462672682968e-05, 'batch_size': 1028, 'embed_dim': 256, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:04:49,530] Trial 137 finished with value: 0.96875 and parameters: {'learning_rate': 0.00017685853405692618, 'batch_size': 32, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:06:01,089] Trial 138 finished with value: 1.0 and parameters: {'learning_rate': 5.6472797362346984e-05, 'batch_size': 32, 'embed_dim': 64, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:11:37,628] Trial 139 finished with value: 1.0 and parameters: {'learning_rate': 0.0002269522263277497, 'batch_size': 16, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:12:02,982] Trial 140 finished with value: 0.93359375 and parameters: {'learning_rate': 0.00013223451164950936, 'batch_size': 256, 'embed_dim': 32, 'depth': 3, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:13:47,724] Trial 141 finished with value: 1.0 and parameters: {'learning_rate': 1.6007016171231252e-05, 'batch_size': 16, 'embed_dim': 64, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:15:31,556] Trial 142 finished with value: 0.9375 and parameters: {'learning_rate': 1.2923622411423179e-05, 'batch_size': 16, 'embed_dim': 64, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:17:16,573] Trial 143 finished with value: 1.0 and parameters: {'learning_rate': 2.4025661412535616e-05, 'batch_size': 16, 'embed_dim': 64, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:19:17,268] Trial 144 finished with value: 1.0 and parameters: {'learning_rate': 3.291432396903059e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:20:22,014] Trial 145 finished with value: 1.0 and parameters: {'learning_rate': 1.918223801676355e-05, 'batch_size': 32, 'embed_dim': 64, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:23:33,101] Trial 146 finished with value: 0.953125 and parameters: {'learning_rate': 2.7859145882972595e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 4, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:27:34,289] Trial 147 finished with value: 0.96875 and parameters: {'learning_rate': 1.1719655694058722e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 6, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:29:35,114] Trial 148 finished with value: 1.0 and parameters: {'learning_rate': 9.257866338503331e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:35:06,371] Trial 149 finished with value: 1.0 and parameters: {'learning_rate': 1.6888103646967445e-05, 'batch_size': 32, 'embed_dim': 256, 'depth': 5, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:38:14,858] Trial 150 finished with value: 1.0 and parameters: {'learning_rate': 4.46123863788189e-05, 'batch_size': 16, 'embed_dim': 64, 'depth': 3, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:41:13,818] Trial 151 finished with value: 1.0 and parameters: {'learning_rate': 3.026911746465699e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:44:14,555] Trial 152 finished with value: 1.0 and parameters: {'learning_rate': 3.8842519454288955e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:47:14,865] Trial 153 finished with value: 1.0 and parameters: {'learning_rate': 2.1305755447059238e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:50:43,064] Trial 154 finished with value: 0.96875 and parameters: {'learning_rate': 5.974093827058838e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:51:08,717] Trial 155 finished with value: 0.890625 and parameters: {'learning_rate': 7.309612548785598e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:52:38,540] Trial 156 finished with value: 0.96875 and parameters: {'learning_rate': 0.00012012851973834318, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:53:42,246] Trial 157 finished with value: 0.9296875 and parameters: {'learning_rate': 1.4446052210223214e-05, 'batch_size': 128, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:55:01,862] Trial 158 finished with value: 1.0 and parameters: {'learning_rate': 0.00018682778772813902, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:59:23,336] Trial 159 finished with value: 1.0 and parameters: {'learning_rate': 0.00039779008968937547, 'batch_size': 16, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:04:54,130] Trial 160 finished with value: 1.0 and parameters: {'learning_rate': 2.5436280682743237e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:11:27,284] Trial 161 finished with value: 1.0 and parameters: {'learning_rate': 2.1813638761988323e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:18:00,227] Trial 162 finished with value: 1.0 and parameters: {'learning_rate': 3.5469335319727506e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:24:32,559] Trial 163 finished with value: 1.0 and parameters: {'learning_rate': 1.792566964279407e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:28:18,615] Trial 164 finished with value: 0.953125 and parameters: {'learning_rate': 2.5169398599179273e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:32:05,041] Trial 165 finished with value: 1.0 and parameters: {'learning_rate': 4.7332759594527956e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:32:31,718] Trial 166 finished with value: 0.7966926097869873 and parameters: {'learning_rate': 2.9989291232550493e-05, 'batch_size': 1028, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:34:41,468] Trial 167 finished with value: 1.0 and parameters: {'learning_rate': 0.00010394838302256912, 'batch_size': 32, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:37:42,399] Trial 168 finished with value: 1.0 and parameters: {'learning_rate': 1.027706138103141e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:39:02,700] Trial 169 finished with value: 0.96875 and parameters: {'learning_rate': 1.5152967996688617e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:43:48,704] Trial 170 finished with value: 1.0 and parameters: {'learning_rate': 0.00015470296009838423, 'batch_size': 32, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:50:20,452] Trial 171 finished with value: 1.0 and parameters: {'learning_rate': 1.2047780931077318e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:56:56,768] Trial 172 finished with value: 0.4375 and parameters: {'learning_rate': 0.005568269015582365, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:03:30,295] Trial 173 finished with value: 1.0 and parameters: {'learning_rate': 1.9517119878763335e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:10:02,887] Trial 174 finished with value: 1.0 and parameters: {'learning_rate': 1.522614168001716e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:10:57,743] Trial 175 finished with value: 0.91796875 and parameters: {'learning_rate': 2.3380745895610644e-05, 'batch_size': 256, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:14:49,789] Trial 176 finished with value: 1.0 and parameters: {'learning_rate': 8.85315963900801e-05, 'batch_size': 16, 'embed_dim': 64, 'depth': 4, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:15:56,065] Trial 177 finished with value: 0.96875 and parameters: {'learning_rate': 3.7022234484769586e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:19:44,958] Trial 178 finished with value: 0.921875 and parameters: {'learning_rate': 1.2958785810156442e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:22:42,804] Trial 179 finished with value: 1.0 and parameters: {'learning_rate': 1.8434565448499733e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:24:53,078] Trial 180 finished with value: 1.0 and parameters: {'learning_rate': 2.8348600208599663e-05, 'batch_size': 16, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:31:22,665] Trial 181 finished with value: 1.0 and parameters: {'learning_rate': 2.0522854012155692e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:37:54,147] Trial 182 finished with value: 1.0 and parameters: {'learning_rate': 2.5660223491305034e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:44:26,903] Trial 183 finished with value: 1.0 and parameters: {'learning_rate': 7.078045844264554e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:50:57,032] Trial 184 finished with value: 1.0 and parameters: {'learning_rate': 1.6470950890642037e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:53:07,691] Trial 185 finished with value: 1.0 and parameters: {'learning_rate': 3.415621578142663e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:57:27,621] Trial 186 finished with value: 1.0 and parameters: {'learning_rate': 4.2324817799500946e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:58:49,254] Trial 187 finished with value: 1.0 and parameters: {'learning_rate': 0.00013248225275930528, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:59:35,415] Trial 188 finished with value: 0.90234375 and parameters: {'learning_rate': 5.109438728004637e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:00:27,578] Trial 189 finished with value: 0.8671875 and parameters: {'learning_rate': 1.2446677639290842e-05, 'batch_size': 128, 'embed_dim': 32, 'depth': 6, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:04:23,037] Trial 190 finished with value: 0.96875 and parameters: {'learning_rate': 2.9020085234796058e-05, 'batch_size': 32, 'embed_dim': 64, 'depth': 5, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:06:25,229] Trial 191 finished with value: 1.0 and parameters: {'learning_rate': 2.230035986213607e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:08:28,233] Trial 192 finished with value: 1.0 and parameters: {'learning_rate': 0.0003040719404135605, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:10:29,317] Trial 193 finished with value: 1.0 and parameters: {'learning_rate': 3.2859762144224465e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:12:31,830] Trial 194 finished with value: 1.0 and parameters: {'learning_rate': 6.140810062146273e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:14:32,919] Trial 195 finished with value: 1.0 and parameters: {'learning_rate': 2.3523693884377716e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:17:38,147] Trial 196 finished with value: 1.0 and parameters: {'learning_rate': 0.00011056075853158441, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:18:38,591] Trial 197 finished with value: 0.96875 and parameters: {'learning_rate': 4.2263798486747186e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:22:13,490] Trial 198 finished with value: 1.0 and parameters: {'learning_rate': 1.7727585818014393e-05, 'batch_size': 32, 'embed_dim': 256, 'depth': 3, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:26:36,295] Trial 199 finished with value: 1.0 and parameters: {'learning_rate': 1.0027902278098897e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:27:58,327] Trial 200 finished with value: 0.96875 and parameters: {'learning_rate': 8.719998842778588e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:29:28,688] Trial 201 finished with value: 1.0 and parameters: {'learning_rate': 0.00039986213495447334, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:30:59,017] Trial 202 finished with value: 0.96875 and parameters: {'learning_rate': 0.00045571518518581176, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:32:29,472] Trial 203 finished with value: 1.0 and parameters: {'learning_rate': 0.0006259656063686408, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:33:59,978] Trial 204 finished with value: 1.0 and parameters: {'learning_rate': 0.0008094136813500794, 'batch_size': 32, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:34:14,926] Trial 205 finished with value: 0.8968871831893921 and parameters: {'learning_rate': 0.00015038248086676555, 'batch_size': 1028, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:41:38,541] Trial 206 finished with value: 1.0 and parameters: {'learning_rate': 0.00022705335967643695, 'batch_size': 16, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:44:44,961] Trial 207 finished with value: 0.9375 and parameters: {'learning_rate': 0.0010555075441867233, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:46:44,700] Trial 208 finished with value: 0.875 and parameters: {'learning_rate': 0.0002682068789417658, 'batch_size': 16, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:50:40,869] Trial 209 finished with value: 1.0 and parameters: {'learning_rate': 0.00018444330237923773, 'batch_size': 32, 'embed_dim': 64, 'depth': 5, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:51:11,863] Trial 210 finished with value: 0.89453125 and parameters: {'learning_rate': 3.5344862306207876e-05, 'batch_size': 256, 'embed_dim': 32, 'depth': 4, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:55:51,471] Trial 211 finished with value: 1.0 and parameters: {'learning_rate': 0.0002622684231693568, 'batch_size': 32, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:00:30,133] Trial 212 finished with value: 0.96875 and parameters: {'learning_rate': 0.0003574733517587493, 'batch_size': 32, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:05:10,515] Trial 213 finished with value: 1.0 and parameters: {'learning_rate': 0.0001865518198238057, 'batch_size': 32, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:09:48,938] Trial 214 finished with value: 1.0 and parameters: {'learning_rate': 2.7535578997581836e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:15:24,584] Trial 215 finished with value: 1.0 and parameters: {'learning_rate': 1.428544416333518e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:19:33,162] Trial 216 finished with value: 1.0 and parameters: {'learning_rate': 2.0942474408076686e-05, 'batch_size': 16, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:21:04,910] Trial 217 finished with value: 0.6875 and parameters: {'learning_rate': 0.00012188964713235054, 'batch_size': 32, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
slurmstepd: error: *** STEP 64346.0 ON ip-26-0-152-246 CANCELLED AT 2023-12-19T20:22:03 ***
slurmstepd: error: *** JOB 64346 ON ip-26-0-152-246 CANCELLED AT 2023-12-19T20:22:03 ***
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
