without classifier mlp
[I 2023-12-19 10:22:35,012] A new study created in memory with name: no-name-0f124f3c-92fc-4e24-a8e4-9344773713ae
2023-12-19 10:22:39.355381: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 10:25:03,443] Trial 0 finished with value: 0.875 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 16, 'embed_dim': 256, 'depth': 1}. Best is trial 0 with value: 0.875.
[I 2023-12-19 16:28:20,700] Trial 126 finished with value: 1.0 and parameters: {'learning_rate': 4.625374896722594e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:29:57,541] Trial 127 finished with value: 1.0 and parameters: {'learning_rate': 0.0006332294312057905, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:32:24,963] Trial 128 finished with value: 0.9375 and parameters: {'learning_rate': 1.172966950961324e-05, 'batch_size': 32, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:36:18,511] Trial 129 finished with value: 0.75 and parameters: {'learning_rate': 0.005256968937447163, 'batch_size': 16, 'embed_dim': 64, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:37:37,621] Trial 130 finished with value: 0.9296875 and parameters: {'learning_rate': 6.471102615964996e-05, 'batch_size': 256, 'embed_dim': 128, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:41:16,406] Trial 131 finished with value: 1.0 and parameters: {'learning_rate': 0.0008510348027874525, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:44:51,744] Trial 132 finished with value: 1.0 and parameters: {'learning_rate': 0.00036871991936630606, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:48:27,347] Trial 133 finished with value: 1.0 and parameters: {'learning_rate': 1.6301548990415402e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:52:01,719] Trial 134 finished with value: 1.0 and parameters: {'learning_rate': 0.0004945799806235689, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:52:24,857] Trial 135 finished with value: 0.8394941687583923 and parameters: {'learning_rate': 2.5900033886154797e-05, 'batch_size': 1028, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 16:55:57,310] Trial 136 finished with value: 1.0 and parameters: {'learning_rate': 0.0018666163501902843, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:00:12,445] Trial 137 finished with value: 0.6875 and parameters: {'learning_rate': 0.001268722170556845, 'batch_size': 16, 'embed_dim': 256, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:02:27,031] Trial 138 finished with value: 1.0 and parameters: {'learning_rate': 0.0025768379687486766, 'batch_size': 16, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:03:04,533] Trial 139 finished with value: 0.96875 and parameters: {'learning_rate': 0.0005634490104439552, 'batch_size': 128, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:06:36,965] Trial 140 finished with value: 1.0 and parameters: {'learning_rate': 1.301217516692501e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:10:51,008] Trial 141 finished with value: 1.0 and parameters: {'learning_rate': 0.003150929588577968, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:15:06,830] Trial 142 finished with value: 1.0 and parameters: {'learning_rate': 0.0023162350662043127, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:20:00,152] Trial 143 finished with value: 1.0 and parameters: {'learning_rate': 0.0013871577854138604, 'batch_size': 16, 'embed_dim': 32, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:24:17,460] Trial 144 finished with value: 0.9375 and parameters: {'learning_rate': 0.004305056515545198, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:29:52,439] Trial 145 finished with value: 0.875 and parameters: {'learning_rate': 0.0017923363582752906, 'batch_size': 16, 'embed_dim': 128, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:33:29,380] Trial 146 finished with value: 1.0 and parameters: {'learning_rate': 0.0010452322926727872, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:37:46,964] Trial 147 finished with value: 1.0 and parameters: {'learning_rate': 0.003355086129415275, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:41:19,899] Trial 148 finished with value: 1.0 and parameters: {'learning_rate': 1.0409773616371669e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:45:33,159] Trial 149 finished with value: 0.75 and parameters: {'learning_rate': 0.0007154810252876507, 'batch_size': 16, 'embed_dim': 256, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:47:23,857] Trial 150 finished with value: 0.984375 and parameters: {'learning_rate': 0.0021266008207929767, 'batch_size': 64, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:49:00,768] Trial 151 finished with value: 1.0 and parameters: {'learning_rate': 0.00417953612454005, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:50:42,418] Trial 152 finished with value: 0.5625 and parameters: {'learning_rate': 0.009772930165323082, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:52:20,004] Trial 153 finished with value: 1.0 and parameters: {'learning_rate': 0.0026879207480933853, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:53:58,870] Trial 154 finished with value: 0.9375 and parameters: {'learning_rate': 2.3000236879544907e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:54:23,697] Trial 155 finished with value: 0.939453125 and parameters: {'learning_rate': 0.004920002641636248, 'batch_size': 512, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:56:00,254] Trial 156 finished with value: 1.0 and parameters: {'learning_rate': 0.003946121129003522, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 17:59:50,948] Trial 157 finished with value: 1.0 and parameters: {'learning_rate': 0.0003895004881855924, 'batch_size': 16, 'embed_dim': 64, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:03:44,383] Trial 158 finished with value: 1.0 and parameters: {'learning_rate': 0.00014059728662882482, 'batch_size': 32, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:06:39,987] Trial 159 finished with value: 1.0 and parameters: {'learning_rate': 3.2583080299410706e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:07:14,622] Trial 160 finished with value: 0.94921875 and parameters: {'learning_rate': 0.0034786242621343633, 'batch_size': 256, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:10:49,013] Trial 161 finished with value: 1.0 and parameters: {'learning_rate': 0.0029836390157613486, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:14:24,379] Trial 162 finished with value: 1.0 and parameters: {'learning_rate': 0.002146632791251754, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:18:02,083] Trial 163 finished with value: 0.9375 and parameters: {'learning_rate': 0.007627711620139652, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:21:35,058] Trial 164 finished with value: 0.8125 and parameters: {'learning_rate': 0.006089567206985899, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:25:10,927] Trial 165 finished with value: 1.0 and parameters: {'learning_rate': 1.5601224634297866e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:26:36,945] Trial 166 finished with value: 0.9309338331222534 and parameters: {'learning_rate': 0.0002913089947305334, 'batch_size': 1028, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:30:13,699] Trial 167 finished with value: 1.0 and parameters: {'learning_rate': 0.0016850670086253244, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:32:30,353] Trial 168 finished with value: 1.0 and parameters: {'learning_rate': 2.0839858815692334e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:36:05,351] Trial 169 finished with value: 1.0 and parameters: {'learning_rate': 0.002550843437660347, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:38:59,302] Trial 170 finished with value: 1.0 and parameters: {'learning_rate': 1.2628399468781237e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:42:34,736] Trial 171 finished with value: 1.0 and parameters: {'learning_rate': 0.00116644389386417, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:46:11,659] Trial 172 finished with value: 1.0 and parameters: {'learning_rate': 0.0009066792416959446, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:46:48,835] Trial 173 finished with value: 0.9609375 and parameters: {'learning_rate': 0.00359403974867274, 'batch_size': 128, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:50:23,416] Trial 174 finished with value: 1.0 and parameters: {'learning_rate': 0.0021858836553866967, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 18:56:53,111] Trial 175 finished with value: 0.75 and parameters: {'learning_rate': 0.0026962806922768232, 'batch_size': 16, 'embed_dim': 128, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:00:29,552] Trial 176 finished with value: 1.0 and parameters: {'learning_rate': 0.001647062641646567, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:04:46,268] Trial 177 finished with value: 0.9375 and parameters: {'learning_rate': 0.004651795259443091, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:08:21,661] Trial 178 finished with value: 1.0 and parameters: {'learning_rate': 1.0065626538374631e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:13:41,906] Trial 179 finished with value: 0.6875 and parameters: {'learning_rate': 0.0030800713599268502, 'batch_size': 16, 'embed_dim': 256, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:15:19,635] Trial 180 finished with value: 1.0 and parameters: {'learning_rate': 0.0006916179694293358, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:18:53,752] Trial 181 finished with value: 1.0 and parameters: {'learning_rate': 0.001886068064242409, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:22:27,013] Trial 182 finished with value: 1.0 and parameters: {'learning_rate': 0.002523319430335773, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:26:00,649] Trial 183 finished with value: 1.0 and parameters: {'learning_rate': 0.0014865222402712908, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:29:36,934] Trial 184 finished with value: 1.0 and parameters: {'learning_rate': 0.0034350529180635805, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:31:04,597] Trial 185 finished with value: 0.921875 and parameters: {'learning_rate': 1.7455492776063022e-05, 'batch_size': 64, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:34:40,101] Trial 186 finished with value: 1.0 and parameters: {'learning_rate': 0.0038877990140772875, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:35:16,520] Trial 187 finished with value: 0.904296875 and parameters: {'learning_rate': 0.005700257147530581, 'batch_size': 512, 'embed_dim': 64, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:39:36,343] Trial 188 finished with value: 1.0 and parameters: {'learning_rate': 0.0020594444165843986, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:43:08,670] Trial 189 finished with value: 1.0 and parameters: {'learning_rate': 1.4467317007716695e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:47:01,939] Trial 190 finished with value: 0.9375 and parameters: {'learning_rate': 0.0013177665374407594, 'batch_size': 32, 'embed_dim': 128, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:50:36,295] Trial 191 finished with value: 1.0 and parameters: {'learning_rate': 0.001528984918414005, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:54:10,078] Trial 192 finished with value: 1.0 and parameters: {'learning_rate': 0.0010775102517120733, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 19:57:47,418] Trial 193 finished with value: 1.0 and parameters: {'learning_rate': 0.0029544650213065523, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:01:19,565] Trial 194 finished with value: 1.0 and parameters: {'learning_rate': 0.0024530457863541975, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:04:55,610] Trial 195 finished with value: 1.0 and parameters: {'learning_rate': 0.0018471824364853485, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:07:49,495] Trial 196 finished with value: 1.0 and parameters: {'learning_rate': 0.0008811307075225911, 'batch_size': 16, 'embed_dim': 32, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:08:18,343] Trial 197 finished with value: 0.94921875 and parameters: {'learning_rate': 0.003965643956324089, 'batch_size': 256, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:10:30,689] Trial 198 finished with value: 1.0 and parameters: {'learning_rate': 1.2320539583173995e-05, 'batch_size': 16, 'embed_dim': 256, 'depth': 1}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:10:53,955] Trial 199 finished with value: 0.9309338331222534 and parameters: {'learning_rate': 0.0006076970440811943, 'batch_size': 1028, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:15:09,224] Trial 200 finished with value: 1.0 and parameters: {'learning_rate': 7.851976034969984e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:17:26,113] Trial 201 finished with value: 1.0 and parameters: {'learning_rate': 3.199561971891281e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:19:41,031] Trial 202 finished with value: 1.0 and parameters: {'learning_rate': 2.5450729271991827e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 20:21:58,310] Trial 203 finished with value: 1.0 and parameters: {'learning_rate': 0.0022054389858023795, 'batch_size': 16, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
slurmstepd: error: *** STEP 64347.0 ON ip-26-0-152-246 CANCELLED AT 2023-12-19T20:22:03 ***
slurmstepd: error: *** JOB 64347 ON ip-26-0-152-246 CANCELLED AT 2023-12-19T20:22:03 ***
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
